Producer,producer_cod
Samsung-M4580FX,1
intsig.com pdf producer,2
3-Heights™ PDF Merge Split Shell 6.12.1.11 (http://www.pdf-tools.com),3
Microsoft® Word 2019,4
iLovePDF,5
RxRelease / Haru2.4.0dev,6
iText® 5.4.4 ©2000-2013 1T3XT BVBA (AGPL-version),7
